dataset_id,file_name,relative_path,parent_folder,file_size_mb,encoding,delimiter,total_rows,total_columns,numeric_columns_count,categorical_columns_count,columns_with_nulls_count,column_names
applebanana,AppleBanana.csv,AllSmaples-Report/AllSmaples-Report/AppleBanana.csv,AllSmaples-Report,0.9577,utf-8,",",21502,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
applebananamandarin,AppleBananaMandarin.csv,AllSmaples-Report/AllSmaples-Report/AppleBananaMandarin.csv,AllSmaples-Report,0.8229,utf-8,",",18953,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
applebananatomato,AppleBananaTomato.csv,AllSmaples-Report/AllSmaples-Report/AppleBananaTomato.csv,AllSmaples-Report,0.7657,utf-8,",",17652,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
applemandarin,AppleMandarin.csv,AllSmaples-Report/AllSmaples-Report/AppleMandarin.csv,AllSmaples-Report,0.9025,utf-8,",",20912,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
appletomato,AppleTomato.csv,AllSmaples-Report/AllSmaples-Report/AppleTomato.csv,AllSmaples-Report,0.911,utf-8,",",21696,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
banana_d1,Banana D1.csv,AllSmaples-Report/AllSmaples-Report/Banana D1.csv,AllSmaples-Report,1.132,utf-8,",",27708,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
banana_d2,Banana D2.csv,AllSmaples-Report/AllSmaples-Report/Banana D2.csv,AllSmaples-Report,0.5296,utf-8,",",12348,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
banana_d3,Banana D3.csv,AllSmaples-Report/AllSmaples-Report/Banana D3.csv,AllSmaples-Report,0.5746,utf-8,",",13396,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
banana_d4,Banana D4.csv,AllSmaples-Report/AllSmaples-Report/Banana D4.csv,AllSmaples-Report,0.6406,utf-8,",",14370,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
banana_d5,Banana D5.csv,AllSmaples-Report/AllSmaples-Report/Banana D5.csv,AllSmaples-Report,0.6586,utf-8,",",14688,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
bananamandarin,BananaMandarin.csv,AllSmaples-Report/AllSmaples-Report/BananaMandarin.csv,AllSmaples-Report,0.9356,utf-8,",",21500,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
blueberry_d1,Blueberry D1.csv,AllSmaples-Report/AllSmaples-Report/Blueberry D1.csv,AllSmaples-Report,0.2909,utf-8,",",7265,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
blueberry_d2,Blueberry D2.csv,AllSmaples-Report/AllSmaples-Report/Blueberry D2.csv,AllSmaples-Report,0.5885,utf-8,",",13769,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
blueberry_d3,Blueberry D3.csv,AllSmaples-Report/AllSmaples-Report/Blueberry D3.csv,AllSmaples-Report,0.5384,utf-8,",",12816,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
blueberry_d4,Blueberry D4.csv,AllSmaples-Report/AllSmaples-Report/Blueberry D4.csv,AllSmaples-Report,0.5734,utf-8,",",12902,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
blueberry_d5,Blueberry D5.csv,AllSmaples-Report/AllSmaples-Report/Blueberry D5.csv,AllSmaples-Report,0.2832,utf-8,",",6690,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
grape_d1,Grape D1.csv,AllSmaples-Report/AllSmaples-Report/Grape D1.csv,AllSmaples-Report,0.3107,utf-8,",",7614,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
grape_d2,Grape D2.csv,AllSmaples-Report/AllSmaples-Report/Grape D2.csv,AllSmaples-Report,0.5733,utf-8,",",13124,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
grape_d3,Grape D3.csv,AllSmaples-Report/AllSmaples-Report/Grape D3.csv,AllSmaples-Report,0.5954,utf-8,",",13073,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
grape_d4,Grape D4.csv,AllSmaples-Report/AllSmaples-Report/Grape D4.csv,AllSmaples-Report,0.407,utf-8,",",9290,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
grape_d5,Grape D5.csv,AllSmaples-Report/AllSmaples-Report/Grape D5.csv,AllSmaples-Report,0.5478,utf-8,",",12220,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
green_apple_d1,Green Apple D1.csv,AllSmaples-Report/AllSmaples-Report/Green Apple D1.csv,AllSmaples-Report,0.9407,utf-8,",",22479,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
green_apple_d2,Green Apple D2.csv,AllSmaples-Report/AllSmaples-Report/Green Apple D2.csv,AllSmaples-Report,0.5795,utf-8,",",13126,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
green_apple_d3,Green apple D3.csv,AllSmaples-Report/AllSmaples-Report/Green apple D3.csv,AllSmaples-Report,0.5479,utf-8,",",12625,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
green_apple_d4,Green Apple D4.csv,AllSmaples-Report/AllSmaples-Report/Green Apple D4.csv,AllSmaples-Report,0.5219,utf-8,",",12460,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
green_apple_d5,Green Apple D5.csv,AllSmaples-Report/AllSmaples-Report/Green Apple D5.csv,AllSmaples-Report,0.5437,utf-8,",",12964,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
