gas_value,presence,storageDays,status
100,1,0,Fresh
120,1,0,Fresh
140,1,1,Fresh
160,1,1,Fresh
180,1,1,Fresh
200,1,1,Consume Soon
220,1,1,Consume Soon
250,1,2,Consume Soon
280,1,2,Consume Soon
300,1,2,Consume Soon
320,1,2,Consume Soon
350,1,2,Consume Soon
400,1,3,Consume Soon
450,1,3,Spoiled
500,1,3,Spoiled
550,1,3,Spoiled
600,1,3,Spoiled
650,1,4,Spoiled
700,1,4,Spoiled
750,1,4,Spoiled
800,1,4,Spoiled
850,1,5,Spoiled
900,1,5,Spoiled
950,1,5,Spoiled
1000,1,5,Spoiled
0,0,0,No Food
0,0,1,No Food
0,0,2,No Food
50,0,0,No Food
75,0,1,No Food
