Food_Name,Temperature,Humidity,Methane,CO2,Storage_Days,Spoiled
Chicken,17.42,84.08,137.79,1850.81,4.8,2
Spinach,18.27,85.98,117.61,1650.17,6.6,2
Beef,22.56,85,122.46,1960.64,6.1,2
Cheese,8.35,63.53,30.51,757.98,7.8,1
Cheese,11.47,56.15,31.61,836.51,6,1
Mushroom,11.85,78.99,,830.42,2.4,1
Chicken,3.55,44.84,3.96,377.56,0.9,0
Yogurt,19.34,79.93,107.39,1679.56,9,2
Bread,23.93,61.1,21.49,768.74,4.1,1
Chicken,10.55,56.95,45,841.66,2.7,1
Eggs,6.07,41.46,6.03,372.65,3.3,0
Potato,8.21,54.67,4.67,386.3,4.1,0
Spinach,19.15,79.17,118.38,1777.01,7,2
Spinach,3.7,56.36,4.78,379.85,1.7,0
Yogurt,5.25,44.9,4.15,411.36,2.4,0
Spinach,12.08,74.02,40.82,765.15,3.3,1
Eggs,12.73,57.48,34.59,782.26,7.5,1
Chicken,3.74,51.87,4.85,455.4,1.8,0
Mushroom,6.45,60.2,4.14,423.41,1,0
Cheese,17.98,80.95,113.84,1676.67,11,2
Eggs,22.62,76.68,109.68,1586.18,14.9,2
Tomato,13.36,65.64,40.1,737.04,5.3,1
Fish,19.65,87.1,167.81,1843.07,3.6,2
Orange,4.81,48.34,5.2,409.36,2.7,0
Spinach,12.8,67.42,31.76,874.93,3.9,1
Beef,11.29,76.11,45.37,876.79,2.9,1
Cheese,14.73,76.63,114.93,1612.39,13.9,2
Mushroom,20.55,85.74,118.83,1846.19,5.1,2
Strawberry,3.97,51.89,5.11,423.99,1.5,0
Cheese,2.67,48.52,3.09,407.79,3.4,0
Cheese,13.82,80.59,116.65,1722.5,13.6,2
Bread,21.01,43.98,3.91,402.05,1.4,0
Chicken,8.49,67.09,38.57,784.78,2.8,1
Strawberry,9.91,59.03,41.01,816.92,2.7,1
Orange,5.74,50.58,3.61,419.54,3,0
Milk,9.02,65.25,33.94,715.96,3.8,1
Mushroom,11.37,62.16,48.41,809.49,2,1
Mushroom,20.85,90.68,120.92,1829.98,6.4,2
Apple,4.54,47.58,4.9,,2.1,0
Beef,1.67,55.34,5.41,427.24,0.4,0
Fish,2.75,51.64,6.65,443.33,0.9,0
Spinach,4.31,55.35,2.78,443.14,1.9,0
Yogurt,8.62,48.29,39.03,668.96,5.4,1
Tomato,7.27,53.92,3.49,415.14,1.1,0
Chicken,3.01,51.98,6.08,398.04,1.1,0
Potato,21.21,80.27,101.91,1686.21,11.6,2
Cheese,3.93,51.14,5.82,449.57,2.2,0
Orange,5.39,38,6.2,412.94,3.3,0
Yogurt,15.43,77.98,116.29,1545.38,7.9,2
Spinach,10.71,68.05,43.33,821.08,3,1
Spinach,3.7,55.71,4.66,434.98,1.4,0
Fish,16.59,80.51,154,1897.65,4.4,2
Tomato,14.2,,34.45,852.52,4.7,1
Eggs,5.11,51.24,4.22,384.41,3.5,0
Eggs,5.24,49.61,4.24,380.79,3.5,0
Milk,15.24,83.92,114.1,1684.89,7.7,2
Strawberry,3.55,50.4,3.87,394.33,0.2,0
Fish,16.98,84.63,149.12,1839.49,4.6,2
Spinach,3.86,58.06,4.18,419.36,1.9,0
Yogurt,4.4,47.59,5.71,352.45,2.4,0
Orange,22.88,85.22,109.67,1676.4,9.9,2
Spinach,17.87,83.16,108.74,1701.74,6.2,2
Tomato,9.03,49.11,5.6,411.85,2.2,0
Potato,7.74,53.1,3.61,419.19,3.5,0
Cheese,8.15,61.44,36.57,806.35,6.5,1
Apple,12.24,62.27,36.67,,6.1,1
Orange,13.95,66.2,38.81,881.58,6.7,1
Tomato,6.57,54.91,5.51,430.55,1.3,0
Chicken,17.07,82.52,108.93,1984.4,6.1,2
Eggs,6.95,49.5,3.69,406.58,3,0
Spinach,4.09,54.77,1.61,438.06,2,0
Fish,2.69,55.36,5.8,391.64,0.4,0
Cheese,3.52,50.81,4.37,387.12,2.2,0
Chicken,9.2,66.4,35.63,860.98,3.8,1
Yogurt,3.36,58.48,3.3,394.43,2.2,0
Eggs,10.94,54.22,33.25,743.89,6.8,1
Apple,5.07,49.77,3.11,418.4,1.7,0
Bread,22.3,,2,419.6,1.7,0
Strawberry,20.06,81.09,118.23,1788.9,5.2,2
Yogurt,7.13,59.45,30.79,705.51,5.4,1
Potato,8.24,47.63,2.69,399.46,3.5,0
Cheese,1.96,54.79,3.89,406.76,3.1,0
Fish,7.27,64.57,49.92,858.05,1.9,1
Mushroom,21.69,88.85,123.43,1985.29,6.4,2
Beef,11.46,65.5,44.98,910,2.6,1
Yogurt,13.51,75.96,104.8,1640.25,9.5,2
Chicken,3.19,52.08,4.55,430.42,1.5,0
Apple,21.41,81.95,112.42,1616.94,8.3,2
Spinach,4.94,58.2,4.4,434.96,1.2,0
Mushroom,5.89,59.39,4.35,362.39,0.6,0
Cheese,10.72,,28.91,680.16,8,1
Mushroom,4.92,55.12,3.15,388.95,1.4,0
Mushroom,12.3,61.04,39.79,936.79,3.2,1
Tomato,6.6,49.4,4.84,438.74,2,0
Orange,14.65,63.05,25.54,817.81,5.9,1
Apple,20.99,81.97,112.51,1772.13,9.5,2
Bread,21.16,62.43,28.57,740.48,3.7,1
Yogurt,10.06,62.82,32.31,823.33,4.8,1
Beef,3.14,48.19,5.06,434.42,1,0
Fish,18.18,84.55,139.41,1885.17,4.6,2
